criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,ccp_alpha,decision_threshold,accuracy,precision,recall,f1,roc_auc,average_precision
gini,15,2,1,,,0.0,0.5,0.998270401081889,0.9958672372940507,0.9952091631637879,0.9955380914783056,0.9988683406388095,0.9979213623841886
gini,15,50,1,,,0.0,0.5,0.9982526068543365,0.9957939977225141,0.9951908074670974,0.9954923112233188,0.9989761737827663,0.998068032508025
entropy,20,2,20,,balanced,0.0,0.5,0.9982348126267838,0.9920876556489399,0.998861946805191,0.9954632763194,0.9998470017579817,0.9994452568806165
entropy,20,50,20,,balanced,0.0,0.5,0.9982312537812733,0.9921234000656384,0.9988068797151196,0.9954539217928196,0.9998466115664255,0.9994436009319998
entropy,15,2,1,,,0.0001,0.5,0.9982241360902523,0.9956112967791693,0.9952275188604783,0.9954193708290112,0.9998391695640259,0.9995535697935041
entropy,15,2,20,,,0.0001,0.5,0.9982241360902523,0.9956112967791693,0.9952275188604783,0.9954193708290112,0.9998391695640259,0.9995535697935041
entropy,15,50,1,,,0.0001,0.5,0.9982241360902523,0.9956112967791693,0.9952275188604783,0.9954193708290112,0.9998391695640259,0.9995535697935041
entropy,15,50,20,,,0.0001,0.5,0.9982241360902523,0.9956112967791693,0.9952275188604783,0.9954193708290112,0.9998391695640259,0.9995535697935041
entropy,20,2,1,,,0.0001,0.5,0.9982241360902523,0.9956112967791693,0.9952275188604783,0.9954193708290112,0.9998391695640259,0.9995535697935041
entropy,20,2,20,,,0.0001,0.5,0.9982241360902523,0.9956112967791693,0.9952275188604783,0.9954193708290112,0.9998391695640259,0.9995535697935041
entropy,20,50,1,,,0.0001,0.5,0.9982241360902523,0.9956112967791693,0.9952275188604783,0.9954193708290112,0.9998391695640259,0.9995535697935041
entropy,20,50,20,,,0.0001,0.5,0.9982241360902523,0.9956112967791693,0.9952275188604783,0.9954193708290112,0.9998391695640259,0.9995535697935041
gini,15,2,20,,,0.0,0.5,0.998160076871063,0.9957737679614862,0.9947319150498357,0.9952525688469344,0.998994892523729,0.9981060962328687
gini,15,50,20,,,0.0,0.5,0.9981565180255525,0.9957190365076157,0.9947686264432166,0.9952436045764237,0.9989948024514725,0.9981058036922745
entropy,15,2,1,,balanced,0.0,0.5,0.9979999288230897,0.9919165009214824,0.9978156720938344,0.9948573415567065,0.9998499000749287,0.9995160606174398
entropy,15,50,1,,balanced,0.0,0.5,0.997939428449411,0.9916627139052067,0.997760605003763,0.9947023139633828,0.9998531382191427,0.9995500000941813
entropy,15,50,20,,balanced,0.0,0.5,0.9978931634577743,0.9914275813011837,0.997760605003763,0.9945840118566227,0.9998943009566933,0.9996452003620966
entropy,15,2,20,,balanced,0.0,0.5,0.9978682515392007,0.991318937846513,0.9977422493070724,0.9945202221185425,0.9998944056965865,0.9996456059335465
entropy,20,2,1,,balanced,0.0001,0.5,0.9974376312324282,0.9881412875692364,0.9987701683217387,0.9934272986197327,0.9998792110377206,0.9995236436067977
